REF_DATE,GEO,Age group,VALUE
2015,Nova Scotia,70 to 74 years,42972
2015,Nova Scotia,75 to 79 years,30357
2015,Nova Scotia,80 to 84 years,21318
2015,Nova Scotia,85 to 89 years,12825
2015,Nova Scotia,65 years and older,177402
2015,Nova Scotia,90 years and older,8207
2015,New Brunswick,All ages,759226
2015,New Brunswick,65 to 69 years,50492
2015,New Brunswick,70 to 74 years,34598
2015,New Brunswick,75 to 79 years,24160
2015,New Brunswick,80 to 84 years,17184
2015,New Brunswick,85 to 89 years,10568
2015,New Brunswick,65 years and older,143781
2015,New Brunswick,90 years and older,6779
2015,Quebec,All ages,8175743
2015,Quebec,65 to 69 years,470789
2015,Quebec,70 to 74 years,352246
2015,Quebec,75 to 79 years,242807
2015,Quebec,80 to 84 years,183395
2015,Quebec,85 to 89 years,115462
2015,Quebec,65 years and older,1429426
2015,Quebec,90 years and older,64727
2015,Ontario,All ages,13709293
2015,Ontario,65 to 69 years,715949
2015,Ontario,70 to 74 years,510594
2015,Ontario,75 to 79 years,383850
2015,Ontario,80 to 84 years,287157
